"","X","Date","Open","High","Low","Close","Volume","day"
"255",255,"03/01/1991",367.0698,379.6599,363.73,375.22,0,1991-03-01
"256",256,"04/01/1991",375.22,391.2598,370.2698,375.3499,0,1991-04-01
"257",257,"05/01/1991",375.3499,389.8499,365.8298,389.8298,0,1991-05-01
"258",258,"06/03/1991",389.8298,389.8298,367.98,371.1599,0,1991-06-03
"259",259,"07/01/1991",371.1599,387.8098,370.9199,387.8098,0,1991-07-01
"260",260,"08/01/1991",387.8098,396.8198,374.0898,395.4299,0,1991-08-01
"261",261,"09/03/1991",395.4299,397.6199,382.7698,387.8599,0,1991-09-03
"262",262,"10/01/1991",387.8599,393.8098,376.1099,392.46,0,1991-10-01
"263",263,"11/01/1991",392.46,398.22,371.6299,375.22,0,1991-11-01
"264",264,"12/02/1991",375.22,418.3198,371.3599,417.0898,0,1991-12-02
"265",265,"01/02/1992",417.0898,421.1799,408.6399,408.7898,0,1992-01-02
"266",266,"02/03/1992",408.7898,418.0798,406.3398,412.7,0,1992-02-03
"267",267,"03/02/1992",412.7,413.7798,401.9399,403.6899,0,1992-03-02
"268",268,"04/01/1992",403.6899,416.2798,392.4099,414.95,0,1992-04-01
"269",269,"05/01/1992",414.95,418.75,409.8499,415.3499,0,1992-05-01
"270",270,"06/01/1992",415.3499,417.2998,399.9199,408.1399,0,1992-06-01
"271",271,"07/01/1992",408.1399,424.7998,407.2,424.21,0,1992-07-01
"272",272,"08/03/1992",424.21,425.1399,408.2998,414.0298,0,1992-08-03
"273",273,"09/01/1992",414.0298,425.2698,412.71,417.7998,0,1992-09-01
"274",274,"10/01/1992",417.7998,421.1599,396.7998,418.6799,0,1992-10-01
"275",275,"11/02/1992",418.6799,431.9299,415.5798,431.3499,0,1992-11-02
"276",276,"12/01/1992",431.3499,442.6499,428.6099,435.71,0,1992-12-01
"277",277,"01/04/1993",435.7,442.6599,426.8799,438.7798,0,1993-01-04
"278",278,"02/01/1993",438.79,450.0398,428.25,443.3799,0,1993-02-01
"279",279,"03/01/1993",443.3999,456.7598,441.0698,451.6699,0,1993-03-01
"280",280,"04/01/1993",451.6699,452.6299,432.2998,440.1899,0,1993-04-01
"281",281,"05/03/1993",440.1899,454.5498,436.8599,450.1899,0,1993-05-03
"282",282,"06/01/1993",450.23,455.6299,442.5,450.5298,0,1993-06-01
"283",283,"07/01/1993",450.54,451.1499,441.3999,448.1299,0,1993-07-01
"284",284,"08/02/1993",448.1399,463.5598,446.9399,463.5598,0,1993-08-02
"285",285,"09/01/1993",463.55,463.7998,449.6399,458.9299,0,1993-09-01
"286",286,"10/01/1993",458.9299,471.0999,456.3999,467.8298,0,1993-10-01
"287",287,"11/01/1993",467.8301,469.1099,454.3599,461.7898,0,1993-11-01
"288",288,"12/01/1993",461.9299,471.2898,455.45,466.45,0,1993-12-01
"289",289,"01/03/1994",466.51,482.8499,464.3599,481.6099,0,1994-01-03
"290",290,"02/01/1994",481.6001,482.23,464.2598,467.1399,0,1994-02-01
